-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  4.6106   Longitude -74.0746 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,82.31,82.19,82.29,82.31,82.35,82.37,82.38,82.39,82.34,82.29,82.27,82.19,82.31
PS,2002,82.28,82.27,82.29,82.28,82.32,82.41,82.42,82.34,82.33,82.25,82.29,82.3,82.32
PS,2003,82.3,82.23,82.26,82.31,82.33,82.37,82.39,82.41,82.36,82.28,82.25,82.26,82.31
PS,2004,82.3,82.32,82.21,82.32,82.36,82.4,82.39,82.4,82.35,82.3,82.24,82.25,82.32
PS,2005,82.25,82.21,82.32,82.29,82.32,82.34,82.42,82.37,82.33,82.32,82.24,82.25,82.31
PS,2006,82.22,82.24,82.26,82.27,82.37,82.38,82.4,82.32,82.35,82.28,82.22,82.31,82.3
PS,2007,82.23,82.3,82.23,82.34,82.35,82.38,82.4,82.35,82.35,82.29,82.19,82.26,82.31
PS,2008,82.21,82.28,82.28,82.23,82.32,82.34,82.39,82.32,82.33,82.33,82.26,82.26,82.3
PS,2009,82.29,82.22,82.23,82.32,82.34,82.37,82.35,82.31,82.31,82.24,82.18,82.23,82.28
PS,2010,82.2,82.17,82.25,82.32,82.37,82.45,82.42,82.41,82.37,82.33,82.25,82.19,82.31
PS,2011,82.18,82.25,82.26,82.3,82.31,82.36,82.34,82.37,82.4,82.29,82.25,82.22,82.29
